Hajj Company (Arabic),Hajj Company (English),formattedAddress,City,Country,email,Contact_Info,Rating Reviews,is_autorized,Google_Maps_Link,Link_Valid
‘—ﬂ… «·«Œ·«’ «·„ Õœ… ·Œœ„… ÕÃ«Ã «·œ«Œ· «·„ÕœÊœ…,Al-Ikhlas United Company for Domestic Pilgrims Ser,"«·ÃÊÂ—…° „ﬂ… 24211, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,al-ekhlas@hotmail.com,+966 55 555 2602,4.8 (297 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Ikhlas%20United%20Company%20for%20Domestic%20Pilgrims%20Ser%2C%20%D8%A7%D9%84%D8%AC%D9%88%D9%87%D8%B1%D8%A9%2C%20%D9%85%D9%83%D8%A9%2024211%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… «·›—«∆÷ ·Œœ„«  ÕÃ«Ã «·œ«Œ· «·„ÕœÊœ…,Alfaraid company for demestic pilgrims services lt,,„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,al8rshi1015@gmail.com,+966 555554887,,Yes,,FALSE
‘—ﬂ… Õ”‰ „⁄Ã» Õ”‰ »‰Ì «·ÕÊÌ“Ì Ê‘—ﬂ«Â «· ÷«„‰Ì…,Hassan Moajab Hassan Bani Al-Huwaizi and Partners,"9R9P+GR3, Batha Quraish, Makkah 24352, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,alhawizi@hotmail.com,+966 12 531 5159,3.6 (8 reviews),Yes,"https://www.google.com/maps/place/9R9P+GR3,+Batha+Quraish,+Makkah+24352,+Saudi+Arabia",TRUE
‘—ﬂ… «À—«¡ «·ÃÊœ ·Œœ„«  «·ÕÃ«Ã ‘—ﬂ… ‘Œ’ Ê«Õœ,ITHRAA ALJOUD FOR HAJJ SERVICES,"Souq Al Hejaz St, An Nuzhah, Makkah 24225, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,aqari@africa-sa.com,,3.7 (3 reviews),Yes,https://www.google.com/maps/search/?api=1&query=ITHRAA%20ALJOUD%20FOR%20HAJJ%20SERVICES%2C%20Souq%20Al%20Hejaz%20St%2C%20An%20Nuzhah%2C%20Makkah%2024225%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… Ì”— «·„‘«⁄— ·Œœ„«  «·ÕÃ«Ã,Yosr Al Mashaer For Hajj Servise Co,"CV3V+R59, Al Mashair, Makkah 24247, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,ayami@yosrhajj.com,,5 (83 reviews),Yes,"https://www.google.com/maps/place/CV3V+R59,+Al+Mashair,+Makkah+24247,+Saudi+Arabia",TRUE
‘—ﬂ… »‰œ— Ê»œ— Ã„Ì· «·ﬁ—‘Ì Ê‘—ﬂ«Â„«·Œœ„«  ÕÃ«Ã «·œ«Œ·,Bandar & Badr Jameel Al Qurashi & Co. Services Domestic Pilgrims,"CV4R+P53, Al Mashair, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,badrjameel@outlook.com,,2.1 (45 reviews),Yes,"https://www.google.com/maps/place/CV4R+P53,+Al+Mashair,+Makkah+24247,+Saudi+Arabia",TRUE
‘—ﬂ… «·—«ÃÕÌ ··Œœ„«  «· Ã«—Ì… «·„”«‰œ…,AlRajhi Company for Commercial SupportServices,"An Naseem, Makkah 24245, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,bandar@arabstandards.com,,4.3 (76 reviews),Yes,https://www.google.com/maps/search/?api=1&query=AlRajhi%20Company%20for%20Commercial%20SupportServices%2C%20An%20Naseem%2C%20Makkah%2024245%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… »‘«∆— «·«”·«„ ·Œœ„«  ÕÃ«Ã «·œ«Œ· ÊŒœ„«  «·„⁄ „—Ì‰ «·„ÕœÊœ…,Bashayer Al-Islam Company for Domestic Pilgrims Services and Umrah Services Ltd.,"MEMD7393° 7393° 3829 Street 643, ÕÌ «·„‘«⁄—° Makkah 24248, Saudi Arabia",Makkah,Saudi Arabia,bashaer_aleslam@hotmail.com,+966 50 256 0666,4.2 (10 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Bashayer%20Al-Islam%20Company%20for%20Domestic%20Pilgrims%20Services%20and%20Umrah%20Services%20Ltd.%2C%20MEMD7393%2C%207393%2C%203829%20Street%20643%2C%20%D8%AD%D9%8A%20%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B9%D8%B1%2C%20Makkah%2024248%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… Õ„·… «·»‘«∆— ·Œœ„«  ÕÃ«Ã «·œ«Œ·,Al-Bashaer Campaign Company,"ÿ—Ìﬁ «·„·ﬂ ›Âœ «·›—⁄Ì° ÕÌ «·—»Ê…° Jeddah 21313, Saudi Arabia",Ãœ…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,bashaerhaj@gmail.com,+966 53 382 6000,4.2 (10 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Bashaer%20Campaign%20Company%2C%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D9%81%D9%87%D8%AF%20%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%8A%2C%20%D8%AD%D9%8A%20%D8%A7%D9%84%D8%B1%D8%A8%D9%88%D8%A9%2C%20Jeddah%2021313%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… »Ì«‰ ·Œœ„… ÕÃ«Ã «·œ«Œ·,BAYAN COMBANY FOR DOMESTIC PILGRIMS SERVICES,"CJM2+R2J, King Abdullah Branch Rd, Al Qaswa, Madinah 42391, Saudi Arabia",Madinah,Saudi Arabia,bayan22813@gmail.com,+966 53 555 6091,4.4 (155 reviews),Yes,"https://www.google.com/maps/place/CJM2+R2J,+King+Abdullah+Branch+Rd,+Al+Qaswa,+Madinah+42391,+Saudi+Arabia",TRUE
‘—ﬂ… «·„‰«”ﬂ ·Œœ„«  «·ÕÃ Ê«·⁄„—… «·„ÕœÊœ…,Al-Manasik Company for Hajj and Umrah Services Limited,"al-safa tower, ÿ—Ìﬁ «·„”Ãœ «·Õ—«„° ÕÌ «·⁄“Ì“Ì…, „ﬂ » —ﬁ„ 176° Makkah 24243, Saudi Arabia",Makkah,Saudi Arabia,belalesam1989@gmail.com,+966 12 553 1010,4 (41 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Manasik%20Company%20for%20Hajj%20and%20Umrah%20Services%20Limited%2C%20al-safa%20tower%2C%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D8%B3%D8%AC%D8%AF%20%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D9%85%2C%20%D8%AD%D9%8A%20%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9%2C%20%D9%85%D9%83%D8%AA%D8%A8%20%D8%B1%D9%82%D9%85%20176%2C%20Makkah%2024243%2C%20Saudi%20Arabia,TRUE
‘—ﬂÂ ⁄»œ«··Â ⁄·Ì ⁄»œ«··Â »‰ „Õ›ÊŸ Ê‘—ﬂ«Â ·Œœ„… ÕÃ«Ã «·œ«Œ·,Abdullah Ali Abdullah Bin Mahfouz & Partners Company to serve domestic pilgrims,"CVCJ+46W, Al Mashair, Makkah 24244, Saudi Arabia",Makkah,Saudi Arabia,binmahfoozhajj@gmail.com,+966 53 074 5456,4.3 (57 reviews),Yes,"https://www.google.com/maps/place/CVCJ+46W,+Al+Mashair,+Makkah+24244,+Saudi+Arabia",TRUE
‘—ﬂ… —Ì” „Õ„œ «·—Ì” Ê⁄»œ«··Â ⁄»œ«·—Õ„‰ «·—»Ì⁄… ·Œœ„«  ÕÃ«Ã «·œ«Œ·,"Rais, Mohammed Al-Rais and Abdullah Abdulrahman Al-Rabiah Company for domestic pilgrims services","8576 ° 4337° King Faisal - 50 Rd, Al Mashair, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,c-r-r-hajj@hotmail.com,+966 54 067 7776,4.6 (51 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Rais%2C%20Mohammed%20Al-Rais%20and%20Abdullah%20Abdulrahman%20Al-Rabiah%20Company%20for%20domestic%20pilgrims%20services%2C%208576%20%2C%204337%2C%20King%20Faisal%20-%2050%20Rd%2C%20Al%20Mashair%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… «À—«¡ «·ŒÌ— ·Œœ„«  «·ÕÃ«Ã ‘—ﬂ… ‘Œ’ Ê«Õœ,Ithraa Alkhair,"8143 Street 529, Al Mashair, Makkah 24247, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,ceooffice@ithraalkhair.com.sa,,4 (8 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Ithraa%20Alkhair%2C%208143%20Street%20529%2C%20Al%20Mashair%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
›‰œﬁ Ã»· ⁄„— ﬂÊ‰—«œ,Jabal Omar Conrad Hotel,"Ibrahim Al Khalil, Jabal Omar, «·‘»Ìﬂ…° „ﬂ… 21955, Saudi Arabia",„ﬂ… «·„ﬂ—„…,«·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ…,conrad@jodc.com.sa,+966 12 526 7700,4.7 (14069 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Jabal%20Omar%20Conrad%20Hotel%2C%20Ibrahim%20Al%20Khalil%2C%20Jabal%20Omar%2C%20%D8%A7%D9%84%D8%B4%D8%A8%D9%8A%D9%83%D8%A9%2C%20%D9%85%D9%83%D8%A9%2021955%2C%20Saudi%20Arabia,TRUE
‘—ﬂÂ «·√‰Â«— «·„ Õœ… ·Œœ„… ÕÃ«Ã «·œ«Œ·,Al-Anhar United for Domestic Hajj Services,"MEMB2446, 2446, 7147 ÿ—Ìﬁ —ﬁ„ 2° «·„‘«⁄—° „ﬂ… 24258, Saudi Arabia",„ﬂ…,Saudi Arabia,cs@anharhajj.com,,3.6 (11 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Anhar%20United%20for%20Domestic%20Hajj%20Services%2C%20MEMB2446%2C%202446%2C%207147%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%B1%D9%82%D9%85%202%2C%20%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B9%D8%B1%2C%20%D9%85%D9%83%D8%A9%2024258%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… «Õ„œ »‰ ”«·„ «·Œ“«⁄Ì Ê‘—ÌﬂÂ ·Œœ„«  ÕÃ«Ã «·œ«Œ·,Ahmed Bin Salem Al-Khuzaei & Partner Company for Domestic Pilgrims Services,"CV4R+P9F, Al Mashair, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,dr.abdulmohssin@gmail.com,,5 (2 reviews),Yes,"https://www.google.com/maps/place/CV4R+P9F,+Al+Mashair,+Makkah+24247,+Saudi+Arabia",TRUE
‘—ﬂ… ‰„«¡ «·»—ﬂ… ·Œœ„«  «·ÕÃ«Ã,Namaa Albaraka (for internal pilgrims services),"7073 131 MEMB7073 4892° ÕÌ° Al Mashair, Makkah 24255, Saudi Arabia",Makkah,Saudi Arabia,dyafat1010@gmail.com,+966 55 550 6716,2.3 (3 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Namaa%20Albaraka%20%28for%20internal%20pilgrims%20services%29%2C%207073%20131%20MEMB7073%204892%2C%20%D8%AD%D9%8A%2C%20Al%20Mashair%2C%20Makkah%2024255%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ≈›«÷… ·Œœ„«  ÕÃ«Ã «·œ«Œ· «·„ÕœÊœ…,Ifada Company for Domestic Pilgrims Services Ltd.,"3753 ÿ—Ìﬁ 38 (ÿ—Ìﬁ «·„·ﬂ ⁄»œ «·⁄“Ì“° Al Mursalat, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,efadaco@gmail.com,+966 53 910 0032,4.1 (75 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Ifada%20Company%20for%20Domestic%20Pilgrims%20Services%20Ltd.%2C%203753%20%D8%B7%D8%B1%D9%8A%D9%82%2038%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%2C%20Al%20Mursalat%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
‘—ﬂÂ „Õ„œ »‰ ⁄»œ«··Â «·—ÊÌ” ·Œœ„Â ÕÃ«Ã «·œ«Œ·,Mohammed bin Abdullah Alruwais company for serving domestic pilgrims,"4627, Al Adel, Makkah 24249, Saudi Arabia",Makkah,Saudi Arabia,esamvxr@gmail.com,+966 9200 13880,4.1 (145 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Mohammed%20bin%20Abdullah%20Alruwais%20company%20for%20serving%20domestic%20pilgrims%2C%204627%2C%20Al%20Adel%2C%20Makkah%2024249%2C%20Saudi%20Arabia,TRUE
„ƒ””… ›ÂÌœ „⁄Ì‘ «·ﬁ—‘Ì ·Œœ„«  «·ÕÃ«Ã,Fahid Maish Al Qurashi Foundation for Pilgrims Services,"ÕÌ° An Naseem, Makkah 24245, Saudi Arabia",Makkah,Saudi Arabia,fahid.alqurashi@gmail.com,+966 50 477 9071,,Yes,https://www.google.com/maps/search/?api=1&query=Fahid%20Maish%20Al%20Qurashi%20Foundation%20for%20Pilgrims%20Services%2C%20%D8%AD%D9%8A%2C%20An%20Naseem%2C%20Makkah%2024245%2C%20Saudi%20Arabia,TRUE
«·‘—ﬂ… ›Ã— «·‰”ﬂ ·Œœ„«  «·ÕÃ«Ã,Fajr Al-Nasas Company for Pilgrims Services,"MINA5091, 5091 Street 502, Al Mashair, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,fajr.alnosok@gmail.com,+966 9200 15403,4.5 (42 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Fajr%20Al-Nasas%20Company%20for%20Pilgrims%20Services%2C%20MINA5091%2C%205091%20Street%20502%2C%20Al%20Mashair%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ›Ã— «·„‰«”ﬂ «·„ÕœÊœ…,Fajr Al-Manasik Company Limited,"„ŒÌ„«  „‰Ï° Al Mashair, Makkah 24432, Saudi Arabia",Makkah,Saudi Arabia,fajralmanasek@gmail.com,+966 54 154 1394,4.7 (33 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Fajr%20Al-Manasik%20Company%20Limited%2C%20%D9%85%D8%AE%D9%8A%D9%85%D8%A7%D8%AA%20%D9%85%D9%86%D9%89%2C%20Al%20Mashair%2C%20Makkah%2024432%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ›Ì÷ «·„‘«⁄— ·Œœ„«  «·ÕÃ«Ã,Fayd AlMashaer Company for Pilgrims Services,"3739 ÿ—Ìﬁ 44 («·ﬁ’— «·„·ﬂÌ)° 8106, Al Mashair, Makkah 24247, Saudi Arabia",Makkah,Saudi Arabia,fayd.almashaer@gmail.com,+966 9200 08076,3.4 (5 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Fayd%20AlMashaer%20Company%20for%20Pilgrims%20Services%2C%203739%20%D8%B7%D8%B1%D9%8A%D9%82%2044%20%D8%A7%D9%84%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%2C%208106%2C%20Al%20Mashair%2C%20Makkah%2024247%2C%20Saudi%20Arabia,TRUE
‘—ﬂ… ›Âœ «·»ÿÌ Ê‘—ﬂ«Â «· ÷«„‰Ì…,FAHAD ALBUTI & PARTNERS COMPANY FOR HAJJ SERVICES,"‘«—⁄ “«„· «·⁄»œ«··Â «·”·Ì„° Al Faydah, Unayzah 56241, Saudi Arabia",Unayzah,Saudi Arabia,fhdalbuti@gmail.com,+966 56 835 1044,3.1 (57 reviews),Yes,https://www.google.com/maps/search/?api=1&query=FAHAD%20ALBUTI%20%26%20PARTNERS%20COMPANY%20FOR%20HAJJ%20SERVICES%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%B2%D8%A7%D9%85%D9%84%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87%20%D8%A7%D9%84%D8%B3%D9%84%D9%8A%D9%85%2C%20Al%20Faydah%2C%20Unayzah%2056241%2C%20Saudi%20Arabia,TRUE
